002137.SZ,麦达数字,2007-06-13
002138.SZ,顺络电子,2007-06-13
002139.SZ,拓邦股份,2007-06-29
002140.SZ,东华科技,2007-07-12
002141.SZ,蓉胜超微,2007-07-20
002142.SZ,宁波银行,2007-07-19
002143.SZ,印纪传媒,2007-07-20
002144.SZ,宏达高科,2007-08-03
002145.SZ,中核钛白,2007-08-03
002146.SZ,荣盛发展,2007-08-08
002147.SZ,新光圆成,2007-08-08
002148.SZ,北纬通信,2007-08-10
002149.SZ,西部材料,2007-08-10
002150.SZ,通润装备,2007-08-10
002151.SZ,北斗星通,2007-08-13
002152.SZ,广电运通,2007-08-13
002153.SZ,石基信息,2007-08-13
002154.SZ,报喜鸟,2007-08-16
002155.SZ,湖南黄金,2007-08-16
002156.SZ,通富微电,2007-08-16
002157.SZ,正邦科技,2007-08-17
002158.SZ,汉钟精机,2007-08-17
002159.SZ,三特索道,2007-08-17
002160.SZ,常铝股份,2007-08-21
002161.SZ,远望谷,2007-08-21
002162.SZ,悦心健康,2007-08-23
002163.SZ,中航三鑫,2007-08-23
002164.SZ,宁波东力,2007-08-23
002165.SZ,红宝丽,2007-09-13
002166.SZ,莱茵生物,2007-09-13
002167.SZ,东方锆业,2007-09-13
002168.SZ,深圳惠程,2007-09-19
002169.SZ,智光电气,2007-09-19
002170.SZ,芭田股份,2007-09-19
002171.SZ,楚江新材,2007-09-21
002172.SZ,澳洋科技,2007-09-21
002173.SZ,*ST千足,2007-09-25
002174.SZ,游族网络,2007-09-25
002175.SZ,东方网络,2007-10-12
002176.SZ,江特电机,2007-10-12
002177.SZ,御银股份,2007-11-01
002178.SZ,延华智能,2007-11-01
002179.SZ,中航光电,2007-11-01
002180.SZ,艾派克,2007-11-13
002181.SZ,粤传媒,2007-11-16
002182.SZ,云海金属,2007-11-13
002183.SZ,怡亚通,2007-11-13
002184.SZ,海得控制,2007-11-16
002185.SZ,华天科技,2007-11-20
002186.SZ,全聚德,2007-11-20
002187.SZ,广百股份,2007-11-22
002188.SZ,巴士在线,2007-11-22
002189.SZ,利达光电,2007-12-03
002190.SZ,成飞集成,2007-12-03
002191.SZ,劲嘉股份,2007-12-05
002192.SZ,融捷股份,2007-12-05
002193.SZ,山东如意,2007-12-07
002194.SZ,武汉凡谷,2007-12-07
002195.SZ,二三四五,2007-12-12
002196.SZ,方正电机,2007-12-12
002197.SZ,证通电子,2007-12-18
002198.SZ,嘉应制药,2007-12-18
002199.SZ,*ST东晶,2007-12-21
002200.SZ,云投生态,2007-12-21
002201.SZ,九鼎新材,2007-12-26
002202.SZ,金风科技,2007-12-26
002203.SZ,海亮股份,2008-01-16
002204.SZ,大连重工,2008-01-16
002205.SZ,国统股份,2008-01-23
002206.SZ,海利得,2008-01-23
002207.SZ,准油股份,2008-01-28
002208.SZ,合肥城建,2008-01-28
002209.SZ,达意隆,2008-01-30
002210.SZ,飞马国际,2008-01-30
002211.SZ,宏达新材,2008-02-01
002212.SZ,南洋股份,2008-02-01
002213.SZ,特尔佳,2008-02-01
002214.SZ,大立科技,2008-02-18
002215.SZ,诺普信,2008-02-18
002216.SZ,三全食品,2008-02-20
002217.SZ,合力泰,2008-02-20
002218.SZ,拓日新能,2008-02-28
002219.SZ,恒康医疗,2008-03-06
002220.SZ,天宝股份,2008-02-28
002221.SZ,东华能源,2008-03-06
002222.SZ,福晶科技,2008-03-19
002223.SZ,鱼跃医疗,2008-04-18
002224.SZ,三力士,2008-04-25
002225.SZ,濮耐股份,2008-04-25
002226.SZ,江南化工,2008-05-06
002227.SZ,奥特迅,2008-05-06
002228.SZ,合兴包装,2008-05-08
002229.SZ,鸿博股份,2008-05-08
002230.SZ,科大讯飞,2008-05-12
002231.SZ,奥维通信,2008-05-12
002232.SZ,启明信息,2008-05-09
002233.SZ,塔牌集团,2008-05-16
002234.SZ,民和股份,2008-05-16
002235.SZ,安妮股份,2008-05-16
002236.SZ,大华股份,2008-05-20
